dem_req_rate	req_rate_wp_with_naxsi.test.nl	con_rate_wp_with_naxsi.test.nl	min_rep_rate_wp_with_naxsi.test.nl	avg_rep_rate_wp_with_naxsi.test.nl	max_rep_rate_wp_with_naxsi.test.nl	stddev_rep_rate_wp_with_naxsi.test.nl	resp_time_wp_with_naxsi.test.nl	net_io_wp_with_naxsi.test.nl	errors_wp_with_naxsi.test.nl
156	152.5	152.5	129.4	153.7	156.6	7.7	855.7	715.9	0
157	153.4	153.4	130.6	154.8	158.0	7.6	849.4	715.5	0
158	154.4	154.4	131.4	155.8	158.6	7.7	844.5	715.8	0
159	155.4	155.4	132.2	156.8	159.6	7.7	840.2	717.8	0
160	156.4	156.4	133.0	157.8	160.4	7.8	835.1	717.7	0
161	157.4	157.4	134.0	158.8	161.6	7.8	829.2	717.5	0
162	158.4	158.4	135.0	159.8	162.6	7.8	825.4	717.9	0
163	159.3	159.3	136.0	160.8	163.6	7.8	820.2	718.4	0
164	160.3	160.3	137.0	161.8	164.6	7.8	816.3	720.0	0
165	161.2	161.2	138.2	162.8	165.8	7.8	809.5	719.0	0
166	162.3	162.3	139.6	163.8	166.8	7.6	805.8	718.5	0
167	163.2	163.2	140.4	164.8	167.6	7.7	800.8	719.8	0
168	164.2	164.2	141.2	165.8	168.6	7.7	797.1	720.1	0
169	165.2	165.2	142.0	166.8	169.6	7.8	792.4	720.0	0
170	166.2	166.2	143.2	167.8	170.6	7.8	788.0	720.2	0
171	167.1	167.1	144.0	168.8	171.8	7.8	783.4	721.1	0
172	168.1	168.1	145.2	169.8	172.4	7.7	779.2	722.1	0
173	169.1	169.1	146.2	170.8	173.4	7.7	774.9	722.8	0
174	170.1	170.1	147.0	171.8	175.0	7.8	770.5	722.8	0
175	171.2	171.2	148.2	170.6	175.6	10.4	694.3	654.3	1.30246020260492
176	172.0	172.0	149.0	173.8	176.8	7.8	762.0	723.8	0
177	173.0	173.0	150.4	174.8	177.8	7.7	757.7	723.8	0
